train_number,station_sequence,station_code,station_name,scheduled_arrival,scheduled_departure,distance_km,day
01023,1,PUNE,Pune Jn,--:--,06:00,0.0,1
01023,2,SSV,Sasvad Road,06:14,06:17,13.6,1
01023,3,JJR,Jejuri,07:00,07:03,53.1,1
01023,4,NIRA,Nira,07:31,07:34,79.5,1
01023,5,LNN,Lonand,07:44,07:47,89.0,1
01023,6,WTR,Wathar,08:11,08:14,111.6,1
01023,7,STR,Satara,08:47,08:50,142.0,1
01023,8,KRG,Koregaon,09:02,09:05,153.4,1
01023,9,RMP,Rahimatpur,09:17,09:20,165.1,1
01023,10,TAZ,Targaon,09:35,09:38,179.2,1
01023,11,MSR,Masur,09:55,09:58,194.9,1
01023,12,KRD,Karad,10:16,10:19,211.5,1
01023,13,TKR,Takari,10:54,10:57,244.0,1
01023,14,KOV,Kirloskarvadi,11:07,11:10,253.7,1
01023,15,BVQ,Bhilavdi,11:29,11:32,271.2,1
01023,16,SLI,Sangli,11:57,12:00,294.6,1
01023,17,MRJ,Miraj Jn,12:09,12:12,303.4,1
01023,18,JSP,Jayasingpur,12:25,12:28,315.9,1
01023,19,HTK,Hatkanagale,12:48,12:51,334.6,1
01023,20,RKD,Rukadi,13:01,13:04,344.1,1
01023,21,VV,Valivade,13:13,--:--,352.6,1
01024,1,KOP,C Shahu M Raj Kolhapur Term,--:--,06:00,0.0,1
01024,2,VV,Valivade,06:09,06:12,8.4,1
01024,3,RKD,Rukadi,06:21,06:24,16.8,1
01024,4,HTK,Hatkanagale,06:34,06:37,26.3,1
01024,5,JSP,Jayasingpur,06:57,07:00,45.0,1
01024,6,MRJ,Miraj Jn,07:13,07:16,57.6,1
01024,7,SLI,Sangli,07:25,07:28,66.3,1
01024,8,BVQ,Bhilavdi,07:53,07:56,89.7,1
01024,9,KOV,Kirloskarvadi,08:15,08:18,107.2,1
01024,10,TKR,Takari,08:28,08:31,116.9,1
01024,11,KRD,Karad,09:06,09:09,149.4,1
01024,12,MSR,Masur,09:27,09:30,166.0,1
01024,13,TAZ,Targaon,09:47,09:50,181.7,1
01024,14,RMP,Rahimatpur,10:05,10:08,195.8,1
01024,15,KRG,Koregaon,10:20,10:23,207.5,1
01024,16,STR,Satara,10:35,10:38,218.9,1
01024,17,WTR,Wathar,11:11,11:14,249.3,1
01024,18,LNN,Lonand,11:38,11:41,271.9,1
01024,19,NIRA,Nira,11:51,11:54,281.4,1
01024,20,JJR,Jejuri,12:22,12:25,307.8,1
01024,21,SSV,Sasvad Road,13:08,--:--,347.3,1
01025,1,DR,Mumbai Dadar Central,--:--,06:00,0.0,1
01025,2,KYN,Kalyan Jn,06:53,06:56,49.5,1
01025,3,NK,Nasik Road,09:28,09:31,188.8,1
01025,4,BSL,Bhusaval Jn,15:01,15:04,491.9,1
01025,5,HD,Harda,19:39,19:42,744.6,1
01025,6,ET,Itarsi Jn,21:26,21:29,840.3,1
01025,7,RKMP,Rani Kamlapati,21:59,22:02,868.3,1
01025,8,BINA,Bina Jn,02:11,02:14,1097.3,1
01025,9,LAR,Lalitpur,03:39,03:42,1175.9,1
01025,10,TKMG,Tikamgarh,04:45,04:48,1234.5,2
01025,11,KHGP,Khargapur,05:18,05:21,1262.5,2
01025,12,MCSC,Chhatarpur,05:51,05:54,1290.5,2
01025,13,KURJ,Khajuraho,08:21,08:24,1426.1,2
01025,14,MBA,Mahoba,09:43,09:46,1498.9,2
01025,15,BNDA,Banda Jn,10:59,11:02,1566.1,2
01025,16,CKTD,Chitrakutdham Karwi,12:33,12:36,1650.1,2
01025,17,MKP,Manikpur Jn,13:09,13:12,1681.2,2
01025,18,PCOI,Prayagraj Chheoki,13:42,13:45,1709.2,2
01025,19,BSB,Varanasi Jn,18:14,18:17,1955.8,2
01025,20,ARJ,Aunrihar Jn,19:00,19:03,1996.1,2
01025,21,MAU,Mau Jn,20:23,20:26,2070.3,2
01025,22,RSR,Rasra,21:08,21:11,2109.4,2
01025,23,BUI,Ballia,21:55,--:--,2149.9,2
01026,1,BUI,Ballia,--:--,06:00,0.0,1
01026,2,RSR,Rasra,06:44,06:47,40.5,1
01026,3,MAU,Mau Jn,07:29,07:32,79.7,1
01026,4,BSB,Varanasi Jn,09:36,09:39,194.1,1
01026,5,PCOI,Prayagraj Chheoki,10:09,10:12,222.1,1
01026,6,MKP,Manikpur Jn,14:41,14:44,468.7,1
01026,7,CKTD,Chitrakutdham Karwi,15:17,15:20,499.8,1
01026,8,BNDA,Banda Jn,16:51,16:54,583.8,1
01026,9,MBA,Mahoba,18:07,18:10,651.0,1
01026,10,KURJ,Khajuraho,19:29,19:32,723.8,1
01026,11,MCSC,Chhatarpur,20:02,20:05,751.8,1
01026,12,KHGP,Khargapur,20:35,20:38,779.8,1
01026,13,TKMG,Tikamgarh,23:05,23:08,915.5,1
01026,14,LAR,Lalitpur,00:11,00:14,974.1,1
01026,15,BINA,Bina Jn,01:39,01:42,1052.7,1
01026,16,RKMP,Rani Kamlapati,02:12,02:15,1080.7,1
01026,17,ET,Itarsi Jn,06:24,06:27,1309.6,2
01026,18,HD,Harda,08:11,08:14,1405.3,2
01026,19,BSL,Bhusaval Jn,12:49,12:52,1658.1,2
01026,20,NK,Nasik Road,18:22,18:25,1961.1,2
01026,21,KYN,Kalyan Jn,20:57,21:00,2100.5,2
01026,22,DR,Mumbai Dadar Central,21:53,--:--,2149.9,2
01027,1,DR,Mumbai Dadar Central,--:--,06:00,0.0,1
01027,2,KYN,Kalyan Jn,06:53,06:56,49.5,1
01027,3,NK,Nasik Road,09:28,09:31,188.8,1
01027,4,BSL,Bhusaval Jn,15:01,15:04,491.9,1
01027,5,HD,Harda,19:39,19:42,744.6,1
01027,6,ET,Itarsi Jn,21:26,21:29,840.3,1
01027,7,RKMP,Rani Kamlapati,21:59,22:02,868.3,1
01027,8,BINA,Bina Jn,02:11,02:14,1097.3,1
01027,9,LAR,Lalitpur,03:39,03:42,1175.9,1
01027,10,TKMG,Tikamgarh,04:45,04:48,1234.5,2
01027,11,KHGP,Khargapur,05:18,05:21,1262.5,2
01027,12,MCSC,Chhatarpur,05:51,05:54,1290.5,2
01027,13,KURJ,Khajuraho,08:21,08:24,1426.1,2
01027,14,MBA,Mahoba,09:43,09:46,1498.9,2
01027,15,BNDA,Banda Jn,10:59,11:02,1566.1,2
01027,16,CKTD,Chitrakutdham Karwi,12:33,12:36,1650.1,2
01027,17,MKP,Manikpur Jn,13:09,13:12,1681.2,2
01027,18,PRYJ,Prayagraj Jn,13:42,13:45,1709.2,2
01027,19,GYN,Gyanpur Road,16:55,16:58,1883.7,2
01027,20,BSBS,Banaras,17:28,17:31,1911.7,2
01027,21,BSB,Varanasi Jn,18:49,18:52,1984.0,2
01027,22,PCOI,Prayagraj Chheoki,19:22,19:25,2012.0,2
01027,23,ARJ,Aunrihar Jn,20:08,20:11,2052.3,2
01027,24,MAU,Mau Jn,21:31,21:34,2126.4,2
01027,25,BLTR,Belthara Road,22:21,22:24,2170.3,2
01027,26,BTT,Bhatni Jn,23:06,23:09,2209.2,2
01027,27,DEOS,Deoria Sadar,23:37,23:40,2235.6,2
01027,28,GKP,Gorakhpur Jn,00:47,--:--,2297.9,2
01028,1,GKP,Gorakhpur Jn,--:--,06:00,0.0,1
01028,2,DEOS,Deoria Sadar,07:07,07:10,62.3,1
01028,3,BTT,Bhatni Jn,07:38,07:41,88.7,1
01028,4,BLTR,Belthara Road,08:23,08:26,127.5,1
01028,5,MAU,Mau Jn,09:13,09:16,171.5,1
01028,6,ARJ,Aunrihar Jn,10:36,10:39,245.6,1
01028,7,BSB,Varanasi Jn,11:22,11:25,285.9,1
01028,8,PCOI,Prayagraj Chheoki,11:55,11:58,313.9,1
01028,9,MKP,Manikpur Jn,16:27,16:30,560.5,1
01028,10,CKTD,Chitrakutdham Karwi,17:03,17:06,591.6,1
01028,11,BNDA,Banda Jn,18:37,18:40,675.6,1
01028,12,MBA,Mahoba,19:53,19:56,742.8,1
01028,13,KURJ,Khajuraho,21:15,21:18,815.6,1
01028,14,MCSC,Chhatarpur,21:48,21:51,843.6,1
01028,15,KHGP,Khargapur,22:21,22:24,871.6,1
01028,16,TKMG,Tikamgarh,00:51,00:54,1007.3,1
01028,17,LAR,Lalitpur,01:57,02:00,1065.9,1
01028,18,BINA,Bina Jn,03:25,03:28,1144.5,1
01028,19,RKMP,Rani Kamlapati,03:58,04:01,1172.5,1
01028,20,ET,Itarsi Jn,08:10,08:13,1401.4,2
01028,21,HD,Harda,09:57,10:00,1497.1,2
01028,22,BSL,Bhusaval Jn,14:35,14:38,1749.9,2
01028,23,NK,Nasik Road,20:08,20:11,2052.9,2
01028,24,KYN,Kalyan Jn,22:43,22:46,2192.3,2
01028,25,DR,Mumbai Dadar Central,23:39,--:--,2241.7,2
01091,1,KNW,Khandwa,--:--,06:00,0.0,1
01091,2,ANI,Ajanti,06:14,06:17,13.4,1
01091,3,ATR,Attar,06:37,06:40,31.7,1
01091,4,KTKH,Kotlakheri,06:53,06:56,43.8,1
01091,5,NKR,Nimar Kheri,07:02,--:--,49.3,1
01092,1,SWD,Sanawad,--:--,06:00,0.0,1
01092,2,NKR,Nimar Kheri,06:14,06:17,13.6,1
01092,3,KTKH,Kotlakheri,06:23,06:26,19.2,1
01092,4,ATR,Attar,06:39,06:42,31.2,1
01092,5,ANI,Ajanti,07:02,--:--,49.6,1
01129,1,LTT,Lokmanya Tilak Term,--:--,06:00,0.0,1
01129,2,TNA,Thane,06:21,06:24,19.9,1
01129,3,PNVL,Panvel,07:01,07:04,53.9,1
01129,4,PEN,Pen,07:43,07:46,90.6,1
01129,5,ROHA,Roha,08:31,08:34,132.0,1
01129,6,MNI,Mangaon,09:12,09:15,167.0,1
01129,7,KHED,Khed,10:40,10:43,245.3,1
01129,8,CHI,Chiplun,11:14,11:17,273.9,1
01129,9,SGR,Sangmeshwar,12:09,12:12,322.5,1
01129,10,RN,Ratnagiri,12:53,12:56,360.8,1
01129,11,ADVI,Adavali,13:33,13:36,394.9,1
01129,12,VID,Vilavade,13:57,14:00,414.6,1
01129,13,RAJP,Rajapur Road,14:23,14:26,436.0,1
01129,14,VBW,Vaibhavwadi Rd,14:48,14:51,456.8,1
01129,15,KKW,Kankavali,15:30,15:33,492.9,1
01129,16,SNDD,Sindhudurg,15:56,15:59,514.6,1
01129,17,KUDL,Kudal,16:13,--:--,527.9,1
01130,1,SWV,Sawantwadi Road,--:--,06:00,0.0,1
01130,2,KUDL,Kudal,06:28,06:31,26.0,1
01130,3,SNDD,Sindhudurg,06:45,06:48,39.4,1
01130,4,KKW,Kankavali,07:11,07:14,61.1,1
01130,5,VBW,Vaibhavwadi Rd,07:53,07:56,97.2,1
01130,6,RAJP,Rajapur Road,08:18,08:21,117.9,1
01130,7,VID,Vilavade,08:44,08:47,139.3,1
01130,8,ADVI,Adavali,09:08,09:11,159.0,1
01130,9,RN,Ratnagiri,09:48,09:51,193.1,1
01130,10,SGR,Sangmeshwar,10:32,10:35,231.4,1
01130,11,CHI,Chiplun,11:27,11:30,280.0,1
01130,12,KHED,Khed,12:01,12:04,308.6,1
01130,13,MNI,Mangaon,13:29,13:32,386.9,1
01130,14,ROHA,Roha,14:10,14:13,421.9,1
01130,15,PEN,Pen,14:58,15:01,463.4,1
01130,16,PNVL,Panvel,15:40,15:43,500.0,1
01130,17,TNA,Thane,16:20,16:23,534.0,1
01130,18,LTT,Lokmanya Tilak Term,16:44,--:--,553.9,1
01131,1,LTT,Lokmanya Tilak Term,--:--,06:00,0.0,1
01131,2,TNA,Thane,06:21,06:24,19.9,1
01131,3,PNVL,Panvel,07:01,07:04,53.9,1
01131,4,PEN,Pen,07:43,07:46,90.6,1
01131,5,ROHA,Roha,08:31,08:34,132.0,1
01131,6,MNI,Mangaon,09:12,09:15,167.0,1
01131,7,KHED,Khed,10:40,10:43,245.3,1
01131,8,CHI,Chiplun,11:14,11:17,273.9,1
01131,9,SGR,Sangmeshwar,12:09,12:12,322.5,1
01131,10,RN,Ratnagiri,12:53,12:56,360.8,1
01131,11,ADVI,Adavali,13:33,13:36,394.9,1
01131,12,VID,Vilavade,13:57,14:00,414.6,1
01131,13,RAJP,Rajapur Road,14:23,14:26,436.0,1
01131,14,VBW,Vaibhavwadi Rd,14:48,14:51,456.8,1
01131,15,KKW,Kankavali,15:30,15:33,492.9,1
01131,16,SNDD,Sindhudurg,15:56,15:59,514.6,1
01131,17,KUDL,Kudal,16:13,16:16,527.9,1
01131,18,SWV,Sawantwadi Road,16:44,16:47,553.9,1
01131,19,LTT,Lokmanya Tilak Term,01:21,01:24,1025.8,1
01131,20,TNA,Thane,01:45,01:48,1045.7,1
01131,21,PNVL,Panvel,02:25,02:28,1079.7,1
01131,22,PEN,Pen,03:07,03:10,1116.3,1
01131,23,ROHA,Roha,03:55,03:58,1157.8,1
01131,24,MNI,Mangaon,04:36,04:39,1192.8,1
01131,25,KHED,Khed,06:04,06:07,1271.1,2
01131,26,CHI,Chiplun,06:38,06:41,1299.7,2
01131,27,SGR,Sangmeshwar,07:33,07:36,1348.3,2
01131,28,RN,Ratnagiri,08:17,08:20,1386.6,2
01131,29,ADVI,Adavali,08:57,09:00,1420.7,2
01131,30,VID,Vilavade,09:21,09:24,1440.4,2
01131,31,RAJP,Rajapur Road,09:47,09:50,1461.8,2
01131,32,VBW,Vaibhavwadi Rd,10:12,10:15,1482.6,2
01131,33,KKW,Kankavali,10:54,10:57,1518.6,2
01131,34,SNDD,Sindhudurg,11:20,11:23,1540.4,2
01131,35,KUDL,Kudal,11:37,11:40,1553.7,2
01131,36,SWV,Sawantwadi Road,12:08,--:--,1579.7,2
01139,1,NGP,Nagpur,--:--,06:00,0.0,1
01139,2,WR,Wardha Jn,07:37,07:40,89.0,1
01139,3,PLO,Pulgaon Jn,08:20,08:23,125.7,1
01139,4,DMN,Dhamangaon,08:50,08:53,151.1,1
01139,5,BD,Badnera Jn,09:52,09:55,206.0,1
01139,6,AK,Akola Jn,11:42,11:45,304.6,1
01139,7,SEG,Shegaon,12:32,12:35,348.0,1
01139,8,MKU,Malkapur,13:47,13:50,414.1,1
01139,9,BSL,Bhusaval Jn,14:54,14:57,473.4,1
01139,10,NK,Nasik Road,20:27,20:30,776.5,1
01139,11,IGP,Igatpuri,21:26,21:29,828.5,1
01139,12,KYN,Kalyan Jn,23:04,23:07,915.9,1
01139,13,PNVL,Panvel,23:44,23:47,950.6,1
01139,14,ROHA,Roha,01:11,01:14,1028.1,1
01139,15,MNI,Mangaon,01:52,01:55,1063.1,1
01139,16,KHED,Khed,03:20,03:23,1141.4,1
01139,17,CHI,Chiplun,03:54,03:57,1170.0,1
01139,18,SGR,Sangmeshwar,04:49,04:52,1218.6,2
01139,19,RN,Ratnagiri,05:33,05:36,1256.9,2
01139,20,RAJP,Rajapur Road,06:45,06:48,1320.8,2
01139,21,KKW,Kankavali,07:48,07:51,1375.9,2
01139,22,KUDL,Kudal,08:28,08:31,1410.7,2
01139,23,SWV,Sawantwadi Road,08:59,09:02,1436.7,2
01139,24,THVM,Thivim,09:41,09:44,1472.7,2
01139,25,KRMI,Karmali,10:06,10:09,1493.6,2
01139,26,MAO,Madgaon,10:44,--:--,1525.9,2
01140,1,MAO,Madgaon,--:--,06:00,0.0,1
01140,2,KRMI,Karmali,06:35,06:38,32.3,1
01140,3,THVM,Thivim,07:00,07:03,53.2,1
01140,4,SWV,Sawantwadi Road,07:42,07:45,89.1,1
01140,5,KUDL,Kudal,08:13,08:16,115.2,1
01140,6,KKW,Kankavali,08:53,08:56,150.0,1
01140,7,RAJP,Rajapur Road,09:56,09:59,205.0,1
01140,8,RN,Ratnagiri,11:08,11:11,269.0,1
01140,9,SGR,Sangmeshwar,11:52,11:55,307.3,1
01140,10,CHI,Chiplun,12:47,12:50,355.8,1
01140,11,KHED,Khed,13:21,13:24,384.5,1
01140,12,MNI,Mangaon,14:49,14:52,462.7,1
01140,13,ROHA,Roha,15:30,15:33,497.8,1
01140,14,PNVL,Panvel,16:57,17:00,575.2,1
01140,15,KYN,Kalyan Jn,17:37,17:40,610.0,1
01140,16,IGP,Igatpuri,19:15,19:18,697.4,1
01140,17,NK,Nasik Road,20:14,20:17,749.4,1
01140,18,BSL,Bhusaval Jn,01:47,01:50,1052.5,1
01140,19,MKU,Malkapur,02:54,02:57,1111.8,1
01140,20,SEG,Shegaon,04:09,04:12,1177.9,1
01140,21,AK,Akola Jn,04:59,05:02,1221.3,2
01140,22,BD,Badnera Jn,06:49,06:52,1319.9,2
01140,23,DMN,Dhamangaon,07:51,07:54,1374.8,2
01140,24,PLO,Pulgaon Jn,08:21,08:24,1400.2,2
01140,25,WR,Wardha Jn,09:04,09:07,1436.9,2
01140,26,NGP,Nagpur,10:44,--:--,1525.9,2
01211,1,BD,Badnera Jn,--:--,06:00,0.0,1
01211,2,MZR,Murtajapur,06:57,07:00,53.1,1
01211,3,BGN,Borgaon,07:25,07:28,76.4,1
01211,4,AK,Akola Jn,07:53,07:56,99.6,1
01211,5,SEG,Shegaon,08:43,08:46,143.0,1
01211,6,NN,Nandura,09:19,09:22,174.1,1
01211,7,MKU,Malkapur,10:00,10:03,209.1,1
01211,8,BDWD,Bodwad,10:30,10:33,233.9,1
01211,9,BSL,Bhusaval Jn,11:12,11:15,270.5,1
01211,10,JL,Jalgaon Jn,11:48,11:51,300.8,1
01211,11,PC,Pachora Jn,12:53,12:56,358.2,1
01211,12,CSN,Chalisgaon Jn,13:55,13:58,413.0,1
