from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
AAS,BNO,17.0,2,1,1
AAS,PPR,15.0,2,1,1
ABR,JWB,82.0,14,1,1
ABR,PNU,53.0,110,1,0
ABR,FA,98.0,44,1,1
ABR,PDWA,43.0,36,1,0
ABR,SRPJ,26.0,4,1,1
ABR,MJ,165.0,12,1,1
ABR,ADI,186.0,2,1,0
ABR,JU,269.0,2,1,1
ABR,MSH,117.0,2,1,0
ABR,AII,305.0,2,1,1
ABS,SGNR,53.0,12,0,1
ABS,PJK,14.0,2,0,1
ADR,KBKN,11.0,2,0,1
AED,RBS,5.0,2,0,1
AF,SWM,226.0,4,0,1
AF,GGC,161.0,6,0,1
AF,BXN,85.0,15,0,1
AF,BKI,151.0,2,0,1
AF,KOTA,333.0,3,0,1
AF,BTE,53.0,2,0,1
AGC,BXN,85.0,2,0,1
AGC,GGC,162.0,2,0,1
AH,BTE,28.0,35,0,1
AIA,HSI,12.0,2,1,1
AIA,BWL,12.0,2,1,0
AIA,MJNL,6.0,2,1,1
AIA,KNAR,6.0,2,1,1
AII,KSG,25.0,108,1,1
AII,DOZ,7.0,5,1,1
AII,HTD,10.0,2,1,1
AII,JP,135.0,28,1,1
AII,FA,206.0,6,1,1
AII,NSD,23.0,31,1,1
AII,BER,52.0,53,1,1
AII,BJNR,65.0,10,1,1
AII,FL,80.0,8,1,1
AII,MJ,139.0,5,1,1
AII,BHL,132.0,18,1,1
AII,MDJN,7.0,5,1,1
AII,RANI,191.0,2,1,1
AMLI,RWJ,8.0,4,1,1
AMLI,IDG,13.0,4,1,1
AMPR,RMH,8.0,1,1,1
AMPR,PGK,7.0,1,1,1
APA,SEU,8.0,1,1,1
APA,BER,6.0,1,1,1
AQG,RDRA,8.0,2,1,1
AQG,JSM,102.0,2,1,1
AQG,POK,4.0,1,1,1
AQG,OCH,17.0,1,1,1
ARNA,KVGM,5.0,2,1,1
ARNA,BKI,6.0,2,1,1
AS,MHJ,15.0,7,1,1
AS,SOG,47.0,4,1,1
AS,RJS,16.0,3,1,1
ATH,BAZ,21.0,8,1,1
ATH,KOTA,45.0,6,1,1
ATH,DXD,29.0,2,1,1
ATRU,CAG,29.0,2,1,1
ATRU,BAZ,30.0,6,1,1
ATRU,SYL,14.0,4,1,1
ATRU,POR,7.0,1,1,1
ATRU,RTA,69.0,1,1,0
AUN,HNS,7.0,3,1,0
AUN,JKZ,3.0,3,1,0
AUS,TSD,19.0,4,1,1
AUS,SDMK,10.0,4,1,1
AWR,RE,74.0,31,1,0
AWR,BKI,61.0,26,1,1
AWR,KRH,27.0,33,1,1
AWR,JP,150.0,16,1,1
AWR,GVH,46.0,4,1,1
AWR,RHG,36.0,18,1,1
AWR,DEC,142.0,4,1,0
AWR,DO,90.0,10,1,1
AWR,GGN,125.0,2,1,0
AWR,MKH,19.0,4,1,1
AWR,MWW,11.0,2,1,1
AWR,PSL,13.0,4,1,1
AWR,GZKA,8.0,2,1,1
AWR,RAH,26.0,2,1,1
AWR,GADJ,145.0,2,1,1
BAF,SIRD,18.0,1,1,1
BAF,MAAR,22.0,1,1,1
BAH,MITA,7.0,2,0,1
BAI,KUT,9.0,2,1,1
BAI,JHIR,7.0,2,1,1
BAK,DO,11.0,2,1,1
BAK,KVGM,7.0,2,1,1
BAMA,BXN,4.0,2,1,1
BAMA,BR,5.0,2,1,1
BANE,LUNI,25.0,4,1,1
BANE,JU,6.0,2,1,1
BANE,BGKT,4.0,2,1,1
BAR,HP,11.0,1,1,1
BAR,SEU,9.0,1,1,1
BAZ,GUNA,118.0,12,1,0
BAZ,KOTA,67.0,16,1,1
BAZ,CAG,59.0,4,1,1
BAZ,POR,22.0,1,1,1
BAZ,SGAC,64.0,3,1,1
