journey_id,train_number,train_name,journey_date,day_of_week,is_weekend,from_station_code,from_station_name,from_sequence,to_station_code,to_station_name,to_sequence,is_consecutive_stops,is_from_in_rajasthan,is_to_in_rajasthan,scope_tag,from_sched_arr_min,from_act_arr_min,from_arr_delay_min,from_sched_dep_min,from_act_dep_min,from_dep_delay_min,from_sched_dwell_min,from_act_dwell_min,from_dwell_delay_change_min,departure_hour,departure_time_sin,departure_time_cos,section_distance_km,sched_section_runtime_min,sched_speed_kmh,route_total_distance_km,cum_distance_km,fraction_route_completed,stops_remaining,edge_daily_train_count,target_next_actual_runtime_min,target_next_arr_delay_min,target_section_delay_change_min,target_propagation_category
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,NMH,Nimach,28,NBH,Nimbahera,29,1,0,1,enters_rj,1276,1276,0.0,1278,1278,0.0,2,2,0.0,21,-0.6494,0.7604,26.0,33,47.3,2351.0,1626.0,0.6916,17,12,33.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,NBH,Nimbahera,29,COR,Chittaurgarh,30,1,1,1,intra_rj,1311,1311,0.0,1313,1313,0.0,2,2,0.0,21,-0.5262,0.8504,29.0,67,26.0,2351.0,1652.0,0.7027,16,17,67.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,COR,Chittaurgarh,30,BHL,Bhilwara,31,1,1,1,intra_rj,1380,1380,0.0,1390,1390,0.0,10,10,0.0,23,-0.2164,0.9763,54.0,80,40.5,2351.0,1681.0,0.715,15,32,80.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,BHL,Bhilwara,31,BJNR,Bijainagar,32,1,1,1,intra_rj,30,30,0.0,35,35,0.0,5,5,0.0,0,0.1521,0.9884,67.0,53,75.8,2351.0,1735.0,0.738,14,29,53.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,BJNR,Bijainagar,32,AII,Ajmer,33,1,1,1,intra_rj,88,88,0.0,90,90,0.0,2,2,0.0,1,0.3827,0.9239,65.0,85,45.9,2351.0,1802.0,0.7665,13,10,85.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,AII,Ajmer,33,KSG,Kishangarh,34,1,1,1,intra_rj,175,175,0.0,185,185,0.0,10,10,0.0,3,0.7224,0.6915,25.0,25,60.0,2351.0,1867.0,0.7941,12,108,25.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,KSG,Kishangarh,34,FL,Phulera,35,1,1,1,intra_rj,210,210,0.0,212,212,0.0,2,2,0.0,3,0.7986,0.6018,55.0,38,86.8,2351.0,1892.0,0.8048,11,58,38.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,FL,Phulera,35,JP,Jaipur,36,1,1,1,intra_rj,250,250,0.0,252,252,0.0,2,2,0.0,4,0.891,0.454,54.0,73,44.4,2351.0,1947.0,0.8282,10,75,73.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,JP,Jaipur,36,RGS,Ringas,37,1,1,1,intra_rj,325,325,0.0,350,350,0.0,25,25,0.0,5,0.999,0.0436,58.0,51,68.2,2351.0,2001.0,0.8511,9,14,51.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,RGS,Ringas,37,SIKR,Sikar,38,1,1,1,intra_rj,401,401,0.0,405,405,0.0,4,4,0.0,6,0.9808,-0.1951,50.0,70,42.9,2351.0,2059.0,0.8758,8,20,70.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,SIKR,Sikar,38,NWH,Nawalgarh,39,1,1,1,intra_rj,475,475,0.0,480,480,0.0,5,5,0.0,8,0.866,-0.5,27.0,23,70.4,2351.0,2109.0,0.8971,7,14,23.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,NWH,Nawalgarh,39,JJN,Jhunjhunu,40,1,1,1,intra_rj,503,503,0.0,505,505,0.0,2,2,0.0,8,0.8064,-0.5913,37.0,43,51.6,2351.0,2136.0,0.9085,6,6,43.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,JJN,Jhunjhunu,40,CRWA,Chirawa,41,1,1,1,intra_rj,548,548,0.0,550,550,0.0,2,2,0.0,9,0.6756,-0.7373,29.0,21,82.9,2351.0,2173.0,0.9243,5,10,21.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,CRWA,Chirawa,41,LHU,Loharu,42,1,1,0,exits_rj,571,571,0.0,573,573,0.0,2,2,0.0,9,0.5983,-0.8013,29.0,47,37.0,2351.0,2202.0,0.9366,4,6,47.0,0.0,0.0,stable
17020_2024-09-07,17020,Hyb Hsr Express,2024-09-07,5,1,LHU,Loharu,42,SDLP,Sadulpur,43,1,0,1,enters_rj,620,620,0.0,625,625,0.0,5,5,0.0,10,0.4027,-0.9153,49.0,45,65.3,2351.0,2231.0,0.949,3,26,45.0,0.0,0.0,stable
