journey_id,journey_date,train_number,train_type,priority_tier,station_code,station_sequence,distance_from_origin,distance_remaining,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,current_delay_min,section_occupancy_ratio,headway_km,weather_fog_index,is_junction_ahead,hour_of_day,day_of_week,month,is_weekend,target_remaining_time_to_destination,target_remaining_time_to_station,next_station_code,next_station_dist_km,hour_sin,hour_cos,journey_progress_ratio,hist_train_avg_delay,hist_station_avg_delay
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,NDLS,1,0.0,440.3,--:--,06:10,--:--,06:13,3.66,0.2,25.0,0.67,1,6,2,1,0,527.0,50.0,GZB,25.6,1.0,6.123233995736766e-17,0.0,72.48987888634517,8.330955723542116
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,GZB,2,25.6,414.7,06:30,06:30,07:03,07:03,33.66,1.08,5.31,0.67,1,7,2,1,0,477.0,118.0,ALJN,100.4,0.9659258262890683,-0.25881904510252063,0.05814217578923461,72.48987888634517,29.064196428571428
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,ALJN,3,126.0,314.3,07:35,07:35,09:01,09:01,85.66,0.91,9.62,0.67,1,9,2,1,0,359.0,92.0,TDL,78.19999999999999,0.7071067811865476,-0.7071067811865475,0.2861685214626391,72.48987888634517,55.788622179548724
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,TDL,4,204.2,236.1,08:27,08:27,10:33,10:33,126.66,0.76,7.35,0.67,1,10,2,1,0,267.0,119.0,ETW,92.8,0.49999999999999994,-0.8660254037844387,0.4637746990688167,72.48987888634517,87.50675665946724
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,ETW,5,297.0,143.3,09:28,09:28,12:32,12:32,183.66,1.08,30.0,0.67,1,12,2,1,0,148.0,56.0,PHD,58.0,1.2246467991473532e-16,-1.0,0.6745400863047921,72.48987888634517,118.09489678348537
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,PHD,6,355.0,85.30000000000001,10:05,10:05,13:28,13:28,203.66,0.63,5.17,0.67,0,13,2,1,0,92.0,92.0,CNB,85.30000000000001,-0.2588190451025208,-0.9659258262890683,0.8062684533272768,72.48987888634517,129.33023038156946
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,CNB,7,440.3,0.0,10:56,--:--,15:00,--:--,244.66,0.71,14.52,0.67,1,15,2,1,0,0.0,0.0,CNB,0.0,-0.7071067811865471,-0.7071067811865479,1.0,72.48987888634517,113.64701043916487
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,NDLS,1,0.0,440.3,--:--,06:10,--:--,06:23,13.89,0.2,25.0,0.79,1,6,2,1,0,503.0,34.0,GZB,25.6,1.0,6.123233995736766e-17,0.0,72.48987888634517,8.330955723542116
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,GZB,2,25.6,414.7,06:30,06:30,06:57,06:57,27.89,0.33,8.97,0.79,1,6,2,1,0,469.0,115.0,ALJN,100.4,1.0,6.123233995736766e-17,0.05814217578923461,72.48987888634517,29.064196428571428
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,ALJN,3,126.0,314.3,07:35,07:35,08:52,08:52,76.89,0.1,1.54,0.79,1,8,2,1,0,354.0,102.0,TDL,78.19999999999999,0.8660254037844387,-0.4999999999999998,0.2861685214626391,72.48987888634517,55.788622179548724
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,TDL,4,204.2,236.1,08:27,08:27,10:34,10:34,125.89,0.81,9.98,0.79,1,10,2,1,0,252.0,107.0,ETW,92.8,0.49999999999999994,-0.8660254037844387,0.4637746990688167,72.48987888634517,87.50675665946724
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,ETW,5,297.0,143.3,09:28,09:28,12:21,12:21,172.89,0.69,4.71,0.79,1,12,2,1,0,145.0,57.0,PHD,58.0,1.2246467991473532e-16,-1.0,0.6745400863047921,72.48987888634517,118.09489678348537
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,PHD,6,355.0,85.30000000000001,10:05,10:05,13:18,13:18,191.89,0.35,17.47,0.79,0,13,2,1,0,88.0,88.0,CNB,85.30000000000001,-0.2588190451025208,-0.9659258262890683,0.8062684533272768,72.48987888634517,129.33023038156946
JRN-20250101-12004-00010,2025-01-01,12004,Shatabdi,2,CNB,7,440.3,0.0,10:56,--:--,14:46,--:--,230.89,0.52,12.48,0.79,1,14,2,1,0,0.0,0.0,CNB,0.0,-0.4999999999999997,-0.8660254037844388,1.0,72.48987888634517,113.64701043916487
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,NDLS,1,0.0,440.3,--:--,06:10,--:--,06:17,7.63,0.2,25.0,0.0,1,6,2,1,0,375.0,20.0,GZB,25.6,1.0,6.123233995736766e-17,0.0,72.48987888634517,8.330955723542116
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,GZB,2,25.6,414.7,06:30,06:30,06:37,06:37,7.63,0.22,14.52,0.0,1,6,2,1,0,355.0,85.0,ALJN,100.4,1.0,6.123233995736766e-17,0.05814217578923461,72.48987888634517,29.064196428571428
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,ALJN,3,126.0,314.3,07:35,07:35,08:02,08:02,27.63,0.8,20.03,0.0,1,8,2,1,0,270.0,87.0,TDL,78.19999999999999,0.8660254037844387,-0.4999999999999998,0.2861685214626391,72.48987888634517,55.788622179548724
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,TDL,4,204.2,236.1,08:27,08:27,09:29,09:29,62.63,0.7,1.33,0.0,1,9,2,1,0,183.0,79.0,ETW,92.8,0.7071067811865476,-0.7071067811865475,0.4637746990688167,72.48987888634517,87.50675665946724
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,ETW,5,297.0,143.3,09:28,09:28,10:48,10:48,79.63,0.72,7.69,0.0,1,10,2,1,0,104.0,38.0,PHD,58.0,0.49999999999999994,-0.8660254037844387,0.6745400863047921,72.48987888634517,118.09489678348537
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,PHD,6,355.0,85.30000000000001,10:05,10:05,11:26,11:26,81.63,0.7,24.7,0.0,0,11,2,1,0,66.0,66.0,CNB,85.30000000000001,0.258819045102521,-0.9659258262890682,0.8062684533272768,72.48987888634517,129.33023038156946
JRN-20250101-12004-00018,2025-01-01,12004,Shatabdi,2,CNB,7,440.3,0.0,10:56,--:--,12:32,--:--,96.63,0.64,10.23,0.0,1,12,2,1,0,0.0,0.0,CNB,0.0,1.2246467991473532e-16,-1.0,1.0,72.48987888634517,113.64701043916487
JRN-20250101-12004-00026,2025-01-01,12004,Shatabdi,2,NDLS,1,0.0,440.3,--:--,06:10,--:--,06:13,3.12,0.2,25.0,0.71,1,6,2,1,0,520.0,40.0,GZB,25.6,1.0,6.123233995736766e-17,0.0,72.48987888634517,8.330955723542116
