journey_id,journey_date,train_number,train_type,priority_tier,station_code,station_sequence,distance_from_origin,distance_remaining,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,current_delay_min,section_occupancy_ratio,headway_km,weather_fog_index,is_junction_ahead,hour_of_day,day_of_week,month,is_weekend,observation_timestamp,target_remaining_time_to_destination,target_remaining_time_to_station,next_station_code,next_station_dist_km
JRN-20250101-22436-00000,2025-01-01,22436,Vande Bharat,1,NDLS,1,0.0,440.3,--:--,06:00,--:--,06:02,2.69,0.2,25.0,0.0,1,6,2,1,0,2025-01-01T06:02:41.560854,270.0,270.0,CNB,440.3
JRN-20250101-22436-00000,2025-01-01,22436,Vande Bharat,1,CNB,2,440.3,0.0,10:24,--:--,10:32,--:--,8.69,0.22,19.3,0.0,1,10,2,1,0,2025-01-01T10:32:41.560854,0.0,0.0,CNB,0.0
JRN-20250101-12302-00001,2025-01-01,12302,Rajdhani,1,NDLS,1,0.0,440.3,--:--,16:50,--:--,17:23,33.04,0.2,25.0,0.31,1,17,2,1,0,2025-01-01T17:23:02.134485,348.0,348.0,CNB,440.3
JRN-20250101-12302-00001,2025-01-01,12302,Rajdhani,1,CNB,2,440.3,0.0,21:14,--:--,23:11,--:--,117.04,0.86,4.46,0.31,1,23,2,1,0,2025-01-01T23:11:02.134485,0.0,0.0,CNB,0.0
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,NDLS,1,0.0,440.3,--:--,06:10,--:--,06:13,3.66,0.2,25.0,0.67,1,6,2,1,0,2025-01-01T06:13:39.322240,527.0,50.0,GZB,25.6
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,GZB,2,25.6,414.7,06:30,06:30,07:03,07:03,33.66,1.08,5.31,0.67,1,7,2,1,0,2025-01-01T07:03:39.322240,477.0,118.0,ALJN,100.4
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,ALJN,3,126.0,314.3,07:35,07:35,09:01,09:01,85.66,0.91,9.62,0.67,1,9,2,1,0,2025-01-01T09:01:39.322240,359.0,92.0,TDL,78.19999999999999
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,TDL,4,204.2,236.1,08:27,08:27,10:33,10:33,126.66,0.76,7.35,0.67,1,10,2,1,0,2025-01-01T10:33:39.322240,267.0,119.0,ETW,92.80000000000001
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,ETW,5,297.0,143.3,09:28,09:28,12:32,12:32,183.66,1.08,30.0,0.67,1,12,2,1,0,2025-01-01T12:32:39.322240,148.0,56.0,PHD,58.0
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,PHD,6,355.0,85.3,10:05,10:05,13:28,13:28,203.66,0.63,5.17,0.67,0,13,2,1,0,2025-01-01T13:28:39.322240,92.0,92.0,CNB,85.30000000000001
JRN-20250101-12004-00002,2025-01-01,12004,Shatabdi,2,CNB,7,440.3,0.0,10:56,--:--,15:00,--:--,244.66,0.71,14.52,0.67,1,15,2,1,0,2025-01-01T15:00:39.322240,0.0,0.0,CNB,0.0
JRN-20250101-12566-00003,2025-01-01,12566,Superfast,3,NDLS,1,0.0,440.3,--:--,13:00,--:--,13:12,12.75,0.2,25.0,0.81,1,13,2,1,0,2025-01-01T13:12:45.128716,610.0,61.0,GZB,25.6
JRN-20250101-12566-00003,2025-01-01,12566,Superfast,3,GZB,2,25.6,414.7,13:26,13:26,14:13,14:13,47.75,0.94,9.99,0.81,1,14,2,1,0,2025-01-01T14:13:45.128716,549.0,119.0,ALJN,100.4
JRN-20250101-12566-00003,2025-01-01,12566,Superfast,3,ALJN,3,126.0,314.3,14:45,14:45,16:12,16:12,87.75,0.31,20.84,0.81,1,16,2,1,0,2025-01-01T16:12:45.128716,430.0,105.0,TDL,78.19999999999999
JRN-20250101-12566-00003,2025-01-01,12566,Superfast,3,TDL,4,204.2,236.1,15:48,15:48,17:57,17:57,129.75,0.45,7.33,0.81,1,17,2,1,0,2025-01-01T17:57:45.128716,325.0,325.0,CNB,236.10000000000002
JRN-20250101-12566-00003,2025-01-01,12566,Superfast,3,CNB,5,440.3,0.0,18:35,--:--,23:22,--:--,287.75,1.06,22.63,0.81,1,23,2,1,0,2025-01-01T23:22:45.128716,0.0,0.0,CNB,0.0
JRN-20250101-12418-00004,2025-01-01,12418,Superfast,3,NDLS,1,0.0,440.3,--:--,22:10,--:--,22:10,0.87,0.2,25.0,0.0,1,22,2,1,0,2025-01-01T22:10:52.043294,459.0,58.0,GZB,25.6
JRN-20250101-12418-00004,2025-01-01,12418,Superfast,3,GZB,2,25.6,414.7,22:36,22:36,23:08,23:08,31.87,0.98,4.28,0.0,1,23,2,1,0,2025-01-01T23:08:52.043294,401.0,97.0,ALJN,100.4
JRN-20250101-12418-00004,2025-01-01,12418,Superfast,3,ALJN,3,126.0,314.3,23:55,23:55,00:45,00:45,50.87,0.54,8.18,0.0,1,0,2,1,0,2025-01-02T00:45:52.043294,304.0,304.0,CNB,314.3
JRN-20250101-12418-00004,2025-01-01,12418,Superfast,3,CNB,4,440.3,0.0,03:37,--:--,05:49,--:--,132.87,0.8,1.26,0.0,1,5,2,1,0,2025-01-02T05:49:52.043294,0.0,0.0,CNB,0.0
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,NDLS,1,0.0,440.3,--:--,21:30,--:--,21:30,0.51,0.2,25.0,0.0,1,21,2,1,0,2025-01-01T21:30:30.700403,641.0,45.0,GZB,25.6
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,GZB,2,25.6,414.7,21:56,21:56,22:15,22:15,19.51,0.54,7.78,0.0,1,22,2,1,0,2025-01-01T22:15:30.700403,596.0,191.0,ALJN,100.4
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,ALJN,3,126.0,314.3,23:15,23:15,01:26,01:26,131.51,1.23,1.54,0.0,1,1,2,1,0,2025-01-02T01:26:30.700403,405.0,51.0,HRS,31.0
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,HRS,4,157.0,283.3,23:39,23:39,02:17,02:17,158.51,0.94,2.61,0.0,0,2,2,1,0,2025-01-02T02:17:30.700403,354.0,56.0,TDL,47.19999999999999
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,TDL,5,204.2,236.1,00:20,00:20,03:13,03:13,172.51,0.35,12.92,0.0,1,3,2,1,0,2025-01-02T03:13:30.700403,298.0,33.0,SKB,39.80000000000001
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,SKB,6,244.0,196.3,00:50,00:50,03:46,03:46,174.51,0.32,4.68,0.0,0,3,2,1,0,2025-01-02T03:46:30.700403,265.0,114.0,ETW,53.0
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,ETW,7,297.0,143.3,01:35,01:35,05:40,05:40,245.51,1.1,2.92,0.0,1,5,2,1,0,2025-01-02T05:40:30.700403,151.0,57.0,PHD,58.0
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,PHD,8,355.0,85.3,02:18,02:18,06:37,06:37,259.51,0.96,24.48,0.0,0,6,2,1,0,2025-01-02T06:37:30.700403,94.0,46.0,RURA,41.0
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,RURA,9,396.0,44.3,02:49,02:49,07:23,07:23,274.51,0.63,3.69,0.0,0,7,2,1,0,2025-01-02T07:23:30.700403,48.0,48.0,CNB,44.30000000000001
JRN-20250101-14218-00005,2025-01-01,14218,Express,4,CNB,10,440.3,0.0,03:20,--:--,08:11,--:--,291.51,0.49,20.83,0.0,1,8,2,1,0,2025-01-02T08:11:30.700403,0.0,0.0,CNB,0.0
JRN-20250101-12876-00006,2025-01-01,12876,Superfast,3,NDLS,1,0.0,440.3,--:--,07:30,--:--,07:43,13.14,0.2,25.0,0.0,1,7,2,1,0,2025-01-01T07:43:08.137315,498.0,35.0,GZB,25.6
JRN-20250101-12876-00006,2025-01-01,12876,Superfast,3,GZB,2,25.6,414.7,07:56,07:56,08:18,08:18,22.14,0.33,9.59,0.0,1,8,2,1,0,2025-01-01T08:18:08.137315,463.0,106.0,ALJN,100.4
JRN-20250101-12876-00006,2025-01-01,12876,Superfast,3,ALJN,3,126.0,314.3,09:15,09:15,10:04,10:04,49.14,0.54,3.64,0.0,1,10,2,1,0,2025-01-01T10:04:08.137315,357.0,104.0,TDL,78.19999999999999
JRN-20250101-12876-00006,2025-01-01,12876,Superfast,3,TDL,4,204.2,236.1,10:18,10:18,11:48,11:48,90.14,0.68,2.09,0.0,1,11,2,1,0,2025-01-01T11:48:08.137315,253.0,107.0,ETW,92.80000000000001
JRN-20250101-12876-00006,2025-01-01,12876,Superfast,3,ETW,5,297.0,143.3,11:32,11:32,13:35,13:35,120.14,0.8,7.49,0.0,1,13,2,1,0,2025-01-01T13:35:08.137315,146.0,146.0,CNB,143.3
JRN-20250101-12876-00006,2025-01-01,12876,Superfast,3,CNB,6,440.3,0.0,13:13,--:--,16:01,--:--,168.14,0.89,10.53,0.0,1,16,2,1,0,2025-01-01T16:01:08.137315,0.0,0.0,CNB,0.0
JRN-20250101-12398-00007,2025-01-01,12398,Superfast,3,NDLS,1,0.0,440.3,--:--,12:50,--:--,13:21,31.14,0.2,25.0,0.98,1,13,2,1,0,2025-01-01T13:21:08.241286,540.0,187.0,ALJN,126.0
JRN-20250101-12398-00007,2025-01-01,12398,Superfast,3,ALJN,2,126.0,314.3,14:27,14:27,16:28,16:28,121.14,0.91,4.63,0.98,1,16,2,1,0,2025-01-01T16:28:08.241286,353.0,353.0,CNB,314.3
JRN-20250101-12398-00007,2025-01-01,12398,Superfast,3,CNB,3,440.3,0.0,18:09,--:--,22:21,--:--,252.14,0.17,9.79,0.98,1,22,2,1,0,2025-01-01T22:21:08.241286,0.0,0.0,CNB,0.0
JRN-20250101-12461-00008,2025-01-01,12461,Superfast,3,NDLS,1,0.0,440.3,--:--,21:15,--:--,21:59,44.11,0.2,25.0,0.0,1,21,2,1,0,2025-01-01T21:59:06.341849,462.0,49.0,GZB,25.6
JRN-20250101-12461-00008,2025-01-01,12461,Superfast,3,GZB,2,25.6,414.7,21:41,21:41,22:48,22:48,66.11,0.83,11.95,0.0,1,22,2,1,0,2025-01-01T22:48:06.341849,413.0,121.0,ALJN,100.4
JRN-20250101-12461-00008,2025-01-01,12461,Superfast,3,ALJN,3,126.0,314.3,23:00,23:00,00:49,00:49,105.11,0.89,23.2,0.0,1,0,2,1,0,2025-01-02T00:49:06.341849,292.0,76.0,TDL,78.19999999999999
JRN-20250101-12461-00008,2025-01-01,12461,Superfast,3,TDL,4,204.2,236.1,00:03,00:03,02:05,02:05,122.11,0.47,21.07,0.0,1,2,2,1,0,2025-01-02T02:05:06.341849,216.0,216.0,CNB,236.10000000000002
JRN-20250101-12461-00008,2025-01-01,12461,Superfast,3,CNB,5,440.3,0.0,02:50,--:--,05:41,--:--,171.11,0.78,8.24,0.0,1,5,2,1,0,2025-01-02T05:41:06.341849,0.0,0.0,CNB,0.0
JRN-20250101-54308-00009,2025-01-01,54308,Passenger,5,NDLS,1,0.0,126.0,--:--,05:45,--:--,05:45,0.0,0.2,25.0,0.32,1,5,2,1,0,2025-01-01T05:45:00,198.0,40.0,GZB,25.6
JRN-20250101-54308-00009,2025-01-01,54308,Passenger,5,GZB,2,25.6,100.4,06:11,06:11,06:25,06:25,14.0,0.26,14.43,0.32,1,6,2,1,0,2025-01-01T06:25:00,158.0,158.0,ALJN,100.4
JRN-20250101-54308-00009,2025-01-01,54308,Passenger,5,ALJN,3,126.0,0.0,07:22,--:--,09:03,--:--,101.0,0.97,8.02,0.32,1,9,2,1,0,2025-01-01T09:03:00,0.0,0.0,ALJN,0.0
